"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 07 10:29:48 GMT 2021","Sat Aug 07 10:30:21 GMT 2021","33418","test","test_conduit_remek_panniangyan","TestConduit","","","test__import_data_from_file",""
"passed","Sat Aug 07 10:29:09 GMT 2021","Sat Aug 07 10:29:14 GMT 2021","5313","test","test_conduit_remek_panniangyan","TestConduit","","","test__login",""
"passed","Sat Aug 07 10:30:49 GMT 2021","Sat Aug 07 10:31:04 GMT 2021","14952","test","test_conduit_remek_panniangyan","TestConduit","","","test__delete_article",""
"passed","Sat Aug 07 10:30:24 GMT 2021","Sat Aug 07 10:30:47 GMT 2021","23208","test","test_conduit_remek_panniangyan","TestConduit","","","test__modify_article",""
"passed","Sat Aug 07 10:28:53 GMT 2021","Sat Aug 07 10:28:56 GMT 2021","3084","test","test_conduit_remek_panniangyan","TestConduit","","","test__accept_cookies",""
"passed","Sat Aug 07 10:31:17 GMT 2021","Sat Aug 07 10:31:24 GMT 2021","7391","test","test_conduit_remek_panniangyan","TestConduit","","","test__logout",""
"passed","Sat Aug 07 10:28:59 GMT 2021","Sat Aug 07 10:29:06 GMT 2021","7649","test","test_conduit_remek_panniangyan","TestConduit","","","test__registration",""
"passed","Sat Aug 07 10:31:06 GMT 2021","Sat Aug 07 10:31:15 GMT 2021","9500","test","test_conduit_remek_panniangyan","TestConduit","","","test__save_data_to_file",""
"broken","Sat Aug 07 10:28:49 GMT 2021","Sat Aug 07 10:28:50 GMT 2021","1036","test","test_conduit_remek_panniangyan","TestConduit","","","test__home_page",""
"passed","Sat Aug 07 10:29:22 GMT 2021","Sat Aug 07 10:29:28 GMT 2021","5416","test","test_conduit_remek_panniangyan","TestConduit","","","test__pagination",""
"passed","Sat Aug 07 10:29:16 GMT 2021","Sat Aug 07 10:29:21 GMT 2021","5345","test","test_conduit_remek_panniangyan","TestConduit","","","test__list_data",""
"passed","Sat Aug 07 10:29:29 GMT 2021","Sat Aug 07 10:29:45 GMT 2021","15738","test","test_conduit_remek_panniangyan","TestConduit","","","test__add_new_article",""
